ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1,1.578953216,0.044668344,0.009744899,-0.480640967,6,0,1,-0.530250907,0.941579217,0,-0.116718876,0.058487388,0.073757897,14675,25,0.015704859,0.110832801,0.414045087,0.000323471,447,1.500551442,1.051159881,0,0.035796608,0,0,0.002698437,0,-0.201888541,0.259708626,,0.002916476,3,MA,-0.26062805,0.100564589,0.209000175,-0.504797473,0.707787047,0,0.01858699,0.438023664,1984-MA-6,0,1.59721496,1.431632671,0.031886607,0,0.369508643,0.884511002,-0.787432044,0
1,1.37571659,0.044668344,0.011662108,-0.658864325,7,0,1,-0.357766709,1.050328119,0,0.010610213,0.027511507,0.111052428,19127,25,0.015704859,0.130411643,0.432287032,0.000323471,162,0.879571417,0.431458303,0,0.113557012,0,0,0.005579888,0,0.059998597,0.266897197,,0,3,MA,-0.114907286,1.379880969,0.200045506,-0.504797473,1.085003241,0,0.01748339,0.632063744,1984-MA-7,0,1.558919267,1.333210633,0.102466906,0,1.332553749,0.708605407,0.611298752,0
1,1.604154121,0.044668344,0.048830792,-0.999978313,8,1,1,-1.036604129,1.675646921,0,-2.087121845,0.023716053,0.097911017,19701,25,0.015704859,0.266358685,0.452196336,0.000323471,54,0.492831817,-0.26847564,0,-0.139550259,0.076923077,0,0.005585629,0,0.871031319,0.263363737,,0,3,MA,0.336952609,-0.0126702,0.218005097,-0.504797473,1.125737701,0,0.009944688,0.061999408,1984-MA-8,0,1.886346124,0.637513398,1.514659654,0,0.529327903,0.14171789,0.403747664,0
1,1.293913672,0.044668344,0.173389461,-0.682228379,9,1,1,-0.994204539,0.560185176,0,-0.328835756,0.031776458,0.104015591,17101,25,0.015704859,0.193787637,1.161186555,0.000323471,362,1.4714034,-0.083127243,0,-0.142394161,0,0,0.028070384,0,-0.167314725,0.260329463,,0.00360396,3,MA,0.697067638,0.125189519,0.262828138,-0.504797473,0.787944281,0.321381723,0.013199589,-0.266620361,1984-MA-9,0,1.187337555,-0.126046183,2.074236553,0,-0.062315941,0.056828885,-0.350724745,0
1,2.043067134,0.044668344,0.014165532,-0.625933371,10,0,1,0.095309541,0.211835041,0,0.179642545,0.103556346,0.069963246,13724,25,0.015704859,0.142857253,0.38116356,0.000323471,1099,1.619678223,-0.148227084,1,-0.171726978,0.076923077,0.2,0.022700241,1,-0.288466015,0.264405457,,0.005435716,3,MA,-0.340805202,-0.270702807,0.308916536,-0.504797473,-0.59071078,0,0.017741861,0.377011966,1984-MA-10,0,0.921563861,1.741286181,-0.982582544,0,0.962987842,0.843507723,-0.026518898,0
1,1.557979514,0.044668344,0.086611257,-0.659146229,11,1,1,-0.365536268,0.80774535,0,-0.156176369,0.02063419,0.108301146,21334,25,0.015704859,0.146892977,0.754330893,0.000323471,183,1.479218455,-0.111108939,0,-0.059758497,0.076923077,0.2,0.013514691,0,0.013912245,0.268492637,,0.000311344,3,MA,0.006980145,0.714810474,0.269828219,-0.504797473,1.054115854,0.439877569,0.01664343,0.681494632,1984-MA-11,0,1.685577456,0.212418175,2.079046915,0,1.126850618,-0.249893969,2.158121375,0
1,0.883217444,0.00271143,0.004583139,-0.013251274,1,0,1,0.094865566,0.880170405,0,-0.1439495,0.064640644,0.145413461,12560,33,0.015704859,0.077888959,0.58446483,5.13E-05,4515,-0.083581274,1.269233843,0,-0.164576596,0.076923077,0.2,0.052715236,1,-0.33558303,0.178588657,,0.016523854,4,NH,0.133159973,-0.387793826,0.228659208,-1.266744698,-0.610971896,0.071709663,0.01918567,0.473368752,1984-NH-1,4,0.091911817,0.545257386,-0.782317916,0,-0.818940981,-0.350035125,-0.990873216,1
1,0.903537566,0.00271143,0.004580551,0.026935244,2,0,0,-0.221466456,0.924776818,0,-0.02650848,0.106156082,0.06144586,11013,33,0.015704859,0.069467451,-0.078826939,5.13E-05,4478,-0.254878826,1.713808708,0,-0.155232347,0.076923077,0,0.004076599,0,-0.335505971,0.17712885,,0.033675045,4,NH,0.054083273,-0.710374052,0.211049213,-1.266744698,-0.749629163,0,0.018720243,-0.128767575,1984-NH-2,4,0.813697218,0.399670655,0.433477322,4,-0.365350235,-0.520004026,0.121968213,0
1,1.870562504,0.007617766,0.026361651,0.281142575,1,0,1,-1.045705612,0.774084808,0,-0.785153694,0.039015581,0.082708001,10661,44,0.015704859,0.184075924,-0.113036093,5.40E-08,276,-0.528194524,1.5228334,0,-0.187165303,0.307692308,0,0.070567748,0,-0.13135161,0.197729748,,0.0032109,5,RI,0.092492956,-0.835262697,0.335791268,-0.535687225,0.886965101,0,0.016758575,-0.076160688,1984-RI-1,0,0.592236735,0.547493021,-0.097409471,0,-0.217489459,0.055034515,-0.584196319,0
1,1.408345016,0.007617766,0.035396419,-0.069148102,2,0,1,-0.991318703,0.735436912,0,-0.448070132,0.047865745,0.074155188,12598,44,0.015704859,0.114590282,0.530812171,5.40E-08,779,-0.312330039,1.272212487,0,-0.177171019,0.076923077,0,0.006663432,0,-0.271851037,0.195103774,,0.004982686,5,RI,1.07097029,-0.574644011,0.399570728,-0.535687225,0.380566184,0.133362484,0.017877097,-0.089972082,1984-RI-2,4,0.689836648,0.691961934,-0.15976632,4,-0.245363911,0.30166504,-0.940262208,0
2,0.505296372,0.051821628,0.162036926,-0.48657994,1,0,0,0.058237648,0.258608559,0,-0.094919547,0.030958301,0.123078912,15160,34,0.044964346,0.056857667,0.147781462,0.000393382,508,0.738900432,0.095178173,0,-0.137925172,0,0,0.009529341,0,-0.21770326,0.269759481,,0.008292612,12,NJ,-0.599920288,0.803985941,0.433565953,-0.484204305,0.803424932,0,0.016559339,0.247186015,1984-NJ-1,0,1.160760186,0.927929628,0.13394325,0,0.164379061,-0.121348307,0.29226059,0
2,1.875265299,0.051821628,0.150401141,-0.521763346,2,0,1,0.253586546,0.073532819,0,-0.138965332,0.092731764,0.063284711,11184,34,0.044964346,0.073867211,0.689301999,0.000393382,2081,1.94072912,-0.298043843,0,-0.239655607,0.076923077,0,0.019417815,1,-0.316545117,0.269874141,,0.029158468,12,NJ,0.033939752,-0.483958756,0.479438806,-0.484204305,0.064548351,0,0.015973163,-0.517559135,1984-NJ-2,0,0.651804881,0.898379578,-0.461908145,0,-0.057698877,-0.116824202,-0.073793804,0
2,1.972843836,0.051821628,0.08412879,-1.056898291,3,0,1,-0.2330098,0.063282319,0,-0.248369366,0.034426858,0.162249458,15403,34,0.044964346,0.110215485,0.688693358,0.000393382,241,1.584616085,-0.703922624,0,0.020927063,0.076923077,0.2,0.03825938,0,-0.072819149,0.269777659,,0.000542247,12,NJ,-0.749425481,0.373401345,0.34888114,-0.484204305,1.026541395,0,0.018007489,0.283190944,1984-NJ-3,0,0.373362728,1.247246852,-1.148521873,0,-0.022454328,0.186080843,-0.474090932,0
2,0.822668006,0.051821628,0.143081774,-0.725318677,4,0,0,-0.628147343,0.561417258,0,-0.183918481,0.058842684,0.084867072,13403,34,0.044964346,0.110362628,2.025569059,0.000393382,433,1.515970334,0.156753301,0,0.163609686,0.076923077,0.2,0.013407203,0,-0.195031964,0.269858759,,0.020887421,12,NJ,2.368119011,-0.011479761,0.30330069,-0.484204305,0.236804189,0,0.016366952,-0.603456606,1984-NJ-4,4,0.822142857,1.207239798,-0.595147433,4,-0.549975462,0.102069934,-1.146721306,0
2,0.526915104,0.051821628,0.009742624,-1.135185392,5,0,0,-0.100705319,0.985737928,0,0.083074614,0.046523346,0.042526538,19007,34,0.044964346,0.15079881,-0.281064246,0.000393382,1322,1.237796629,0.350496986,0,0.588732396,0,0,0.001956197,0,-0.298220478,0.269787447,,0.007723607,12,NJ,-0.841300507,0.638432226,0.207301137,-0.484204305,0.586459625,0,0.018529307,1.34410948,1984-NJ-5,4,1.684759284,1.467619187,0.086593375,4,-0.00410078,0.059367729,-0.26598777,0
2,0.436308367,0.051821628,0.091894605,0.050817046,6,0,1,-0.684532138,1.241913916,0,-0.656121263,0.02625383,0.061107368,15384,34,0.044964346,0.161258544,0.406936483,0.000393382,171,1.369596471,1.31588806,0,0.233650927,0,0,0.00317931,0,0.040045839,0.269823802,,0,12,NJ,0.015805749,1.696542336,0.318775467,-0.484204305,1.098243203,0,0.017872962,0.823777881,1984-NJ-6,0,0.274152866,0.934582446,-0.96972859,0,-0.126725426,-0.187339153,-0.068753248,0
2,1.201197482,0.051821628,0.1211652,-0.300073593,7,0,0,-0.623041633,1.20665067,0,-0.481421993,0.028741516,0.057613208,19809,34,0.044964346,0.228911337,-0.152255064,0.000393382,341,1.024677974,1.217555781,0,0.398597239,0,0,0.001408533,0,-0.153643363,0.269825201,,0.000304168,12,NJ,-0.623852138,0.72167337,0.264776688,-0.484204305,1.057171898,0,0.016467924,0.379698088,1984-NJ-7,4,1.518644127,1.136546849,0.296356889,4,-0.372835041,0.130970755,-0.917691002,0
