year,state,state_po,district,party,candidatevotes,totalvotes,winratio,ID,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
1976,Michigan,MI,8,0,110127,186632,0.590075657,1976-MI-8,,,,,
1976,Michigan,MI,9,4,146712,209701,0.699624704,1976-MI-9,,,,,
1976,Michigan,MI,10,4,118726,210184,0.564866974,1976-MI-10,,,,,
1976,Michigan,MI,11,4,118871,217115,0.547502476,1976-MI-11,,,,,
1976,Michigan,MI,12,0,94815,180867,0.524224983,1976-MI-12,,,,,
1976,Michigan,MI,13,0,83387,93687,0.890059453,1976-MI-13,,,,,
1976,Michigan,MI,14,0,107503,161666,0.664969752,1976-MI-14,,,,,
1976,Michigan,MI,15,0,117313,158550,0.7399117,1976-MI-15,,,,,
1976,Michigan,MI,16,0,121682,160344,0.758880906,1976-MI-16,,,,,
1976,Michigan,MI,17,0,112746,175573,0.642160241,1976-MI-17,,,,,
1976,Michigan,MI,18,0,123113,186195,0.661204651,1976-MI-18,,,,,
1976,Michigan,MI,19,4,131799,197645,0.666847125,1976-MI-19,,,,,
1976,Minnesota,MN,1,4,158177,231773,0.682465171,1976-MN-1,,,,,
1976,Minnesota,MN,2,4,148322,245810,0.603401001,1976-MN-2,,,,,
1976,Minnesota,MN,3,4,149013,225459,0.660931699,1976-MN-3,,,,,
1976,Minnesota,MN,4,0,133282,200599,0.664420062,1976-MN-4,,,,,
1976,Minnesota,MN,5,0,138213,195596,0.70662488,1976-MN-5,,,,,
1976,Minnesota,MN,6,0,147507,246708,0.597901163,1976-MN-6,,,,,
1976,Minnesota,MN,7,0,174080,241627,0.720449288,1976-MN-7,,,,,
1976,Minnesota,MN,8,0,206755,206755,1,1976-MN-8,,,,,
1976,Mississippi,MS,1,0,93687,93687,1,1976-MS-1,,,,,
1976,Mississippi,MS,2,0,75092,119173,0.630109169,1976-MS-2,,,,,
1976,Mississippi,MS,3,0,129088,137409,0.939443559,1976-MS-3,,,,,
1976,Mississippi,MS,4,4,101132,132991,0.760442436,1976-MS-4,,,,,
1976,Mississippi,MS,5,4,104554,153278,0.682120069,1976-MS-5,,,,,
1976,Missouri,MO,1,0,87310,133184,0.655559226,1976-MO-1,,,,,
1976,Missouri,MO,2,0,111568,218379,0.510891615,1976-MO-2,,,,,
1976,Missouri,MO,3,0,115109,180732,0.636904367,1976-MO-3,,,,,
1976,Missouri,MO,4,0,115955,207560,0.558657738,1976-MO-4,,,,,
1976,Missouri,MO,5,0,100876,148302,0.680206605,1976-MO-5,,,,,
1976,Missouri,MO,6,4,120969,206661,0.585349921,1976-MO-6,,,,,
1976,Missouri,MO,7,4,133656,215504,0.620201945,1976-MO-7,,,,,
1976,Missouri,MO,8,0,132386,196647,0.673216474,1976-MO-8,,,,,
1976,Missouri,MO,9,0,120325,215141,0.559284376,1976-MO-9,,,,,
1976,Missouri,MO,10,0,131675,182699,0.720720967,1976-MO-10,,,,,
1976,Montana,MT,1,0,111487,167784,0.66446741,1976-MT-1,,,,,
1976,Montana,MT,2,4,84149,153121,0.549558846,1976-MT-2,,,,,
1976,Nebraska,NE,1,4,146558,200268,0.731809375,1976-NE-1,,,,,
