STATE,FIPSTATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,WHLSALE
PA,42,14,19,4,94432,98577,12042,63083,0,0,12766,255831,0,96645,5258,10289,11435,21.93,8668,34560,34405,1608,15288,79994,0,21065,3,0,1254,1,321.2717662,516605,,12151,8983,11108,11554,27,278777,0,69925,48737,10326
PA,42,14,20,4,114198,98577,28864,47174,0,0,9694,225681,0,84514,866,4274,10129,21.93,16326,23236,34405,464,15567,65183,0,20738,0,0,226,,1111.984914,515961,,803,3395,8938,17703,27,449640,0,78533,45513,7831
PA,42,14,21,4,97079,98577,18783,52148,0,0,8169,229349,0,92245,4400,3970,8617,21.93,11914,26300,34405,2588,16155,73524,0,19601,0,0,237,,199.6271252,516635,,11861,6175,8782,18082,27,291968,138,68631,39418,5950
PA,42,14,22,4,110010,98577,17694,49381,0,0,11702,207467,0,95220,2314,3753,6559,21.93,13090,27488,34405,2422,16017,52561,0,19828,0,0,188,1,212.6763006,515102,,5881,7718,9106,18762,27,255554,0,73783,36248,5581
PA,42,14,23,4,99328,98577,3057,54348,0,0,8143,222976,0,95275,4859,4087,6404,21.93,8494,39411,34405,7770,15729,62779,0,18450,0,0,241,,66.41788932,516067,,9473,19595,8073,17929,27,190911,0,67098,37182,4994
IL,17,21,1,7,86311,130219,477789,34239,1,1,3269,209734,0,103788,399,14899,13111,6.9,13031,51183,40,32,27029,32501,0,14017,0,0,224,,16217.0625,518946,22610102,0,9255,16323,28574,27.5,518946,0,50601,26694,4896
IL,17,21,2,7,56896,130219,364920,51687,1,1,5928,223943,0,115205,623,12449,13336,6.9,26450,40486,40,68,21304,54520,0,20074,0,0,241,,7640.676471,519566,22610102,0,6733,18404,29348,27.5,519566,0,52971,32461,6603
IL,17,21,3,7,105727,130219,29199,43714,1,0,12388,254989,0,70805,780,4571,19181,6.9,39202,33537,40,105,25123,55022,0,25756,0,0,91,,4940.514286,518754,22610102,0,3843,17997,14723,27.5,518078,0,72393,55431,12473
IL,17,21,4,7,69840,130219,57771,50107,0,0,11564,249910,0,99909,1412,4837,13748,6.9,26114,28445,40,204,17747,69386,0,25510,1,0,174,,2540.529412,518268,,2268,5861,12546,17980,27.5,476370,460,66960,48965,9603
IL,17,21,5,7,98295,130219,17921,66365,1,0,8698,244091,0,73863,1071,4165,14955,6.9,109490,21572,40,75,14299,77003,0,20773,0,0,152,,6923.12,519234,22610102,0,3108,16672,21051,27.5,518743,0,58297,50820,14048
