STATE,SC,CD,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,DC,EMPLYD,ENROLL,FARMER,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
PA,14,6,41896.96,53763.646,1,0,5635.749,0,117517.566,54862.339,132.932,46.426,4774.697,3401,23,41467.269,14023.16426,322532.778,34887488,0,8572.277,28797.48,29,322532.778,0,,22208.996
PA,14,7,22708,46123,0,0,5624,0,115598,58045,1351,66,3540,3401,185,42665,1679.762162,310756,,6635,9149,14357,29,228240,0,,10280
PA,14,8,2427,57223,0,0,5372,0,107270,52184,9167,24,2076,3401,964,48057,295.9004149,285248,,36713,6629,14240,29,163656,0,,12143
PA,14,9,15637,59261,0,0,6353,0,126793,62846,20037,24,2236,3401,1705,46520,204.1818182,348130,,76561,7326,13551,29,148274,2119,,14099
PA,14,10,846,42498,0,0,2465,0,81165,62884,1631,49,2531,3401,454,13439,663.530837,301243,,8485,8134,39254,29,269997,0,,11736
PA,14,11,953,72507,0,0,3828,0,119951,98527,2555,37,3201,3401,891,21411,495.5308642,441518,,12764,7858,53339,29,336561,0,,15143
PA,14,12,573,55342,0,0,2745,0,92446,76167,5107,21,2014,3401,1237,17941,287.1608731,355218,,22026,7677,43852,29,201215,0,,10146
PA,14,13,2293,54162,0,0,3700,0,94621,43065,6699,18,1911,3401,864,45751,279.9583333,241884,,31477,6027,13383,29,144757,0,,11248
PA,14,14,573,25204,0,0,2962,0,63995,41824,18146,18,1409,3401,4560,14879,46.70592105,212979,,74416,5019,13891,29,58733,0,,4897
PA,14,15,1542,38513,0,0,3162,0,78409,47431,9263,16,2016,3401,5757,25126,42.54299114,244920,,43891,6191,14888,29,110500,0,,8883
PA,14,16,14269,48628,0,0,5459,0,109562,53146,4028,42,2600,3401,484,41635,597.6177686,289247,,20160,6350,11473,29,188316,0,,11091
PA,14,17,1967,26833,0,0,4877,0,60093,44744,14178,18,2041,3401,4363,14512,49.35869814,215352,,66883,3840,13488,29,37663,0,,4773
PA,14,18,12576,55986,0,0,6361,0,118973,59384,8631,15,11831,3401,1438,37066,225.9089013,324857,,37467,10893,17271,29,191725,0,,15892
PA,14,19,759,31852,0,0,2449,0,65865,49402,8346,12,1622,3401,4065,17356,58.91291513,239481,,51144,4754,16740,29,91830,0,,6969
PA,14,20,1438,54541,0,0,3492,0,90087,51635,4820,36,1754,3401,1390,41921,187.4071942,260496,,24306,5987,16174,29,170250,0,,10051
PA,14,21,4744,52603,0,0,6541,0,104867,54232,17381,7,1903,3401,2194,42302,130.7360985,286835,,69990,4588,11691,29,117279,0,,10589
PA,14,22,1898,42230,0,0,3349,0,78888,60367,5411,13,2190,3401,2789,12383,102.2086769,285060,,40882,18014,20496,29,140832,0,,10454
PA,14,23,10210,40987,0,0,3749,0,70715,65880,6325,21,1470,3401,1884,6995,151.7813163,285956,,38231,5023,28329,29,67528,0,,7828
PA,14,24,10190,43750,0,0,2574,0,74333,55039,6773,22,1544,3401,1434,17771,178.1889819,255523,,34553,4256,17953,29,94119,0,,7008
PA,14,25,8804,55440,0,0,2856,0,101587,72151,8244,44,2093,3401,1602,45178,212.9968789,341221,,48349,7643,26688,29,186906,1000,,11302
PA,14,26,3929,64849,0,0,3736,0,106037,85622,7118,24,2044,3401,2186,26166,171.2717292,374400,,51706,5442,25384,29,156263,0,,11527
PA,14,27,6156,51112,0,0,3236,0,87040,65206,4422,55,1607,3401,1025,34648,296.0107317,303411,,25027,5481,24531,29,146573,0,,8506
PA,14,28,4740,53311,0,1,3784,0,115101,67722,13870,23,2642,3401,2509,44960,140.9214827,353572,,64280,8694,22295,29,220495,0,,14432
PA,14,29,18012,43260.2,1,0,4072.4,0,92614.6,54030.8,647.6,33.8,3303.8,3401,146,33180.4,1933.615068,282307.8,,3844.4,8438.8,22025,29,236766.2,0,,16953
PA,14,30,18012,43260.2,1,0,4072.4,0,92614.6,54030.8,647.6,33.8,3303.8,3401,146,33180.4,1933.615068,282307.8,,3844.4,8438.8,22025,29,236766.2,941,,16953
PA,14,31,18012,43260.2,1,0,4072.4,0,92614.6,54030.8,647.6,33.8,3303.8,3401,146,33180.4,1933.615068,282307.8,,3844.4,8438.8,22025,29,236766.2,0,,16953
PA,14,32,18012,43260.2,1,0,4072.4,0,92614.6,54030.8,647.6,33.8,3303.8,3401,146,33180.4,1933.615068,282307.8,,3844.4,8438.8,22025,29,236766.2,0,,16953
PA,14,33,18012,43260.2,1,0,4072.4,0,92614.6,54030.8,647.6,33.8,3303.8,3401,146,33180.4,1933.615068,282307.8,,3844.4,8438.8,22025,29,236766.2,0,,16953
IL,21,0,387446,1132031,0,0,117372,0,2874431,1335674,279216,1052,99965,0,55947,822577,141.1557546,7897241,,968103,257998,486392,27.3,5809650,0,276240,454744
IL,21,1,28827.386,65596.3,1,1,6124.804,0,157347.134,65097.872,704.228,60.368,5363.834,0,77,53300.044,5171.526182,398207.516,,1696.086,15793.68,26456.472,27.3,387702.994,0,,29998.976
IL,21,2,28827.386,65596.3,1,1,6124.804,0,157347.134,65097.872,704.228,60.368,5363.834,0,77,53300.044,5171.526182,398207.516,,1696.086,15793.68,26456.472,27.3,387702.994,0,,29998.976
IL,21,3,28827.386,65596.3,1,0,6124.804,0,157347.134,65097.872,704.228,60.368,5363.834,0,77,53300.044,5171.526182,398207.516,,1696.086,15793.68,26456.472,27.3,387702.994,0,,29998.976
