STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,13,12,0,2,53560,83168,74657,58260,1,0,6604,216632,0,72859,28,1.17290196,106747,25576,5276,9,51210,0,6311,0,0,268,0,52333.44444,471001,153854782,0,10451,10039,39,471001,0,-6,42163
NY,13,13,0,2,49308,83168,5569,61514,1,1,7416,189032,0,79558,22,1.17290196,108094,19226,5276,13,53276,0,6327,0,0,239,0,35013.23077,455172,153854782,0,9886,8673,39,455172,0,-6,42150
NY,13,14,0,2,36973,83168,59713,84491,1,1,5401,178585,0,94201,5,1.17290196,78076,14290,5276,13,65454,0,4871,3,1,4277,0,35689,463957,153854782,0,13651,13042,39,463957,0,-6,23439
NY,13,15,0,2,40347,83168,10964,49436,1,1,7327,161714,0,53253,37,1.17290196,71725,16726,5276,10,37652,0,6501,1,1,1395,0,35063.5,350635,153854782,0,11580,7437,39,350635,0,-6,24679
NY,13,16,0,2,33637,83168,10491,41604,1,1,6810,141520,0,70374,63,1.17290196,44334,24564,5276,66,28114,0,6955,2,1,1540,0,5346.984848,352901,153854782,0,10294,5249,39,352901,0,-6,22233
NY,13,17,0,2,61019,83168,6182,23114,1,1,3779,228875,0,30860,20,1.17290196,95896,14427,5276,6,37116,0,8649,1,0,195,0,63720,382320,153854782,0,7536,10451,39,382320,0,215365,35566
NY,13,18,0,2,32343,83168,288458,63318,1,1,5398,190321,0,78109,30,1.17290196,36826,18445,5276,4,41708,0,3993,0,0,254,0,107832.5,431330,153854782,0,9904,14379,39,431330,0,-6,26828
NY,13,19,0,2,56595,83168,31392,59095,1,1,4985,219605,0,64165,16,1.17290196,114844,13049,5276,7,50532,0,4821,1,1,635,0,63596.42857,445175,153854782,0,11897,19089,39,445175,0,-6,40873
NY,13,20,0,2,57744,83168,71071,52515,1,1,4273,223728,0,55796,15,1.17290196,127132,17405,5276,5,47405,0,5713,0,0,242,0,87891.2,439456,153854782,0,9873,13376,39,439456,0,-6,43031
NY,13,21,0,2,40223,83168,44326,51507,1,1,5515,158335,0,62235,25,1.17290196,83679,14497,5276,5,40507,0,5441,0,0,183,0,72213.8,361069,153854782,0,8462,9276,39,361069,0,173136,31665
NY,13,22,0,2,28529,83168,89817,59883,1,0,4595,151193,0,66786,4,1.17290196,59593,14166,5276,7,45110,0,4847,0,0,228,0,51393,359751,153854782,0,7931,10825,39,359751,0,-6,25057
NY,13,23,0,2,44721,83168,15666,42274,1,1,6295,156091,0,56594,28,1.17290196,92485,17980,5276,11,34406,0,6394,0,0,140,0,32164.45455,353809,153854782,0,7889,6493,39,353809,1307,-6,31661
NY,13,24,0,2,38931,83168,14087,51297,1,1,9426,152361,0,60950,31,1.17290196,70953,20139,5276,20,33310,0,6734,1,1,143,0,17509.3,350186,153854782,0,8957,5325,39,350186,0,-6,28574
NY,13,25,0,2,46304,83168,18666,48966,0,0,11550,182059,0,86800,265,1.17290196,54510,18694,5276,370,41167,0,7798,0,0,184,1,1184.889189,438409,0,714,7644,5762,39,399110,1884,128462,32209
NY,13,26,0,2,37591,83168,38864,38605,0,1,10294,170794,0,82100,341,1.17290196,52939,15371,5276,300,33166,0,8226,0,0,677,0,1340.68,402204,0,841,4675,5458,39,353486,0,-6,31747
NY,13,27,0,2,37454,83168,21591,53815,0,0,11264,152479,0,84714,4681,1.17290196,34085,22551,5276,3463,34938,0,6077,2,1,6574,0,118.2064684,409349,0,21395,5187,8163,39,216007,0,54661,23981
NY,13,28,0,2,48672,83168,16581,53279,0,0,9580,149724,0,73712,4204,1.17290196,31672,20989,5276,3880,43177,0,5838,0,0,150,0,102.093299,396122,0,23762,4301,7841,39,146712,256,55868,21785
NY,13,29,0,2,50703,83168,14853,54841,0,0,9556,183353,0,88397,882,1.17290196,34336,33843,5276,744,46650,0,6254,2,0,371,0,608.6370968,452826,0,4660,6993,10343,39,387403,1005,127463,31015
NY,13,30,0,2,50299,83168,5427,66618,0,0,9420,171675,0,98802,4384,1.17290196,21369,23358,5276,8324,51224,1,5483,1,1,5673,0,55.35175396,460748,0,26289,5346,12685,39,213462,0,-6,26942
NY,13,31,0,3,38607,83168,594,44986,0,1,6854,126600,0,80107,7351,0.00036324,18331,16688,5276,8006,30243,0,5273,0,0,552,1,44.11478891,353183,0,42671,3168,12775,39,145489,421,42642,19625
NY,13,32,0,2,42822,83168,5180,52697,0,0,6489,147803,0,80643,4422,1.17290196,26970,24475,5276,3330,44690,0,5937,2,1,2565,0,115.7375375,385406,0,22384,3940,10259,39,257888,0,50282,21388
NY,13,33,0,2,40730,83168,5280,61630,0,0,7343,165210,0,86672,2648,1.17290196,21487,19205,5276,2138,61661,0,6148,0,0,204,0,194.2623948,415333,0,16842,4368,7286,39,274965,0,58415,24207
