STATE,SC,CD,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,13,34,3,40094,102369,11767,56485,0,0,8242,169537,0,85843,1424,0.00036324,30818,16651,2744,792,55197,0,6691,0,0,1687,0,534.1,423028,0,7992,6802,7144,39,342192,488,2279781,29554
NY,13,35,3,49251,102369,3382,58131,0,1,7338,152032,0,83445,8914,0.00036324,21222,19568,2744,4854,45114,0,5402,1,0,321,0,79.6,386148,0,51064,3995,9762,39,162417,1700,2279781,23572
NY,13,36,3,46954,102369,13650,59132,1,1,7339,168663,0,81202,2114,0.00036324,41827,14971,2744,867,63540,0,6941,1,0,68,0,453.1,410943,0,12481,3642,8577,39,335220,0,2279781,27537
NY,13,37,3,43005,102369,15900,66725,1,1,7580,164307,0,87466,4980,0.00036324,27439,17013,2744,2546,62634,0,6513,1,0,103,0,161.2,410432,0,28928,4188,8955,39,257364,240,2279781,23017
NY,13,38,3,45681,102369,2750,58750,0,1,6909,146557,0,84672,6351,0.00036324,16374,16668,2744,5202,49813,0,5455,0,0,107,0,73.5,382277,0,40222,5625,8663,39,169631,1307,2279781,21598
NY,13,39,3,36116,102369,1906,61944,1,1,8834,166775,0,96422,1656,0.00036324,28444,17255,2744,960,56147,0,6942,0,0,617,0,454.4,436243,17849513,10965,8642,8064,39,309502,0,2279781,30267
NY,13,40,3,34090,102369,8424,65715,1,1,12140,169021,0,93782,1037,0.00036324,42599,15595,2744,596,65557,0,6901,0,0,1993,0,730.3,435282,17849513,8024,4555,9688,39,366838,0,2279781,26823
NY,13,41,3,47732,102369,72580,71745,1,1,6414,174580,0,80635,52,0.00036324,43729,15161,2744,31,59462,0,5499,0,0,223,0,14046.2,435432,17849513,0,9676,16188,39,435432,951,2279781,27957
PA,14,0,,1128525,24274,852750,1798921,0,0,205205,4401898,0,2331909,57055,,603490,412478,4339,45007,1502885,0,5719,0,0,17910,,251.5,11319366,0,356273,187729,274690,39,8102890,0,1552378,707896
PA,14,1,2,43141,24274,96129,71666,1,0,6401,170919,0,76894,13,1.17290196,41277,21172,4339,25,55453,0,5580,6,2,6247,0,16727.7,418192,47734820,0,9166,11164,39,418192,0,1552378,29224
PA,14,2,2,41268,24274,232420,52257,1,0,7548,175041,0,70955,38,1.17290196,25940,19114,4339,16,35953,0,4752,0,0,509,0,24874.7,397995,47734820,0,6060,14414,39,397995,488,1552378,29607
PA,14,3,2,42060,24274,164752,66102,1,0,6899,167361,0,80641,20,1.17290196,27445,15136,4339,24,54146,0,5105,0,0,378,0,16958,406993,47734820,0,6754,14295,39,406993,0,1552378,23859
PA,14,4,2,38620,24274,22207,49336,1,0,6697,161288,0,73118,52,1.17290196,41490,18830,4339,41,50094,0,6929,0,0,344,0,9442.9,387156,47734820,0,5931,5664,39,387156,0,1552378,35563
