ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CD,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FIPSTATE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,SC,STATE,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL,ID,YEAR,party,candidatevotes,totalvotes,winratio,prev_party,prev_candidatevotes,prev_totalvotes,prev_winratio,flip
2,32710,25333,28813,82543,15,0,1,9704,208197,0,111726,513,5137,14680,34,2.32414784,39314,26519,17109,207,15129,78835,0,11793,0,0,297,,2308.932367,477949,0,602,12,NJ,6253,9059,6383,31.2,465736,0,61602,37180,1978-NJ-15,1978,0,55944,115886,0.482750289,0,106170,179836,0.590371227,0
2,39408,164253,16440,47787,1,0,1,12829,163899,0,121070,1744,5803,13858,36,2.32414784,31733,35698,22418,195,20350,29091,0,11643,0,0,638,,2398.676923,467742,0,2207,13,NY,9545,6054,6683,40.2,355845,0,53772,32773,1978-NY-1,1978,4,75586,160204,0.471810941,0,129779,207468,0.625537432,1
2,33829,164253,16558,60286,2,0,1,11737,168446,0,128463,349,4401,14601,36,2.32414784,29718,33292,22418,402,18643,39170,0,11938,0,0,257,,1163.487562,467722,0,0,13,NY,10248,10054,5627,40.2,467507,0,53917,33156,1978-NY-2,1978,0,64807,118129,0.54861211,0,90172,159902,0.563920401,0
2,29444,164253,25322,46723,3,0,1,10438,181202,0,134950,418,4436,19023,36,2.32414784,33802,30028,22418,412,20580,42618,0,14396,0,0,325,,1135.665049,467894,0,76,13,NY,5012,7044,4859,40.2,460389,932,61048,36436,1978-NY-3,1978,0,70526,138670,0.508588736,0,94265,181439,0.519541003,0
2,28998,164253,16052,47438,4,0,1,10262,188719,0,131339,199,4825,21715,36,2.32414784,30125,31599,22418,97,23401,36723,0,14376,0,0,281,,4820.721649,467610,0,0,13,NY,3373,9070,5400,40.2,467591,0,63555,43278,1978-NY-4,1978,4,80266,143302,0.560117793,4,91304,190029,0.480474033,0
2,47530,164253,39695,45623,5,0,1,9237,194179,0,111807,301,5004,24176,36,2.32414784,44440,32173,22418,65,23905,33884,0,14102,0,0,930,,7195.292308,467694,0,0,13,NY,3264,9269,5641,40.2,467694,0,62417,43959,1978-NY-5,1978,4,74279,145383,0.510919433,4,98337,198234,0.496065256,0
2,50004,164253,10174,43494,6,1,1,9119,204013,0,100288,201,5617,28153,36,2.32414784,61496,31629,22418,64,22777,37765,1,14483,0,0,1186,,7306.28125,467602,177814618,0,13,NY,3235,9093,5390,40.2,467602,0,63897,43571,1978-NY-6,1978,0,74741,134606,0.555257567,0,104374,181947,0.573650569,0
2,54802,164253,170750,55273,7,1,0,6909,211879,0,89186,335,10204,28863,36,2.32414784,81668,39579,22418,19,25147,37994,0,11317,0,0,389,,24602.57895,467449,177814618,0,13,NY,4228,16836,7781,40.2,467449,0,51981,39834,1978-NY-7,1978,0,55985,77001,0.72706848,0,82107,113373,0.724220052,0
2,52514,164253,20373,51423,8,1,1,7796,231507,0,72474,81,7425,34490,36,2.32414784,124247,31907,22418,19,21682,48771,0,12244,0,0,571,,24615.31579,467691,177814618,0,13,NY,2800,12776,7328,40.2,467691,0,56523,50714,1978-NY-8,1978,0,68971,95202,0.724470074,0,98954,137861,0.717780953,0
2,71616,164253,10132,70385,9,1,1,9124,214189,0,73322,69,5822,34660,36,2.32414784,113995,25587,22418,20,17569,51747,0,10657,0,0,381,,23360.35,467207,177814618,0,13,NY,2196,14329,7565,40.2,467207,0,56594,41696,1978-NY-9,1978,0,51350,94787,0.541740956,0,53418,115195,0.463718043,0
