STATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRCT,CVLLBFRC,DC,ENROLL,FARMER,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
IN,22,8,0,4,49437,8734,13360,64269,0,0,8681,162078,0,96711,8870,4.01888736,1896,14312,229,4891,45219,0,4916,0,0,200,0,90.62604784,443252,0,54673,6025,8663,36,251067,0,54541,29280
IN,22,9,0,4,43763,8734,5397,66685,0,0,8316,156861,0,95355,12309,4.01888736,1636,15815,229,6066,52903,0,5069,3,1,299,0,70.05159908,424933,0,78484,4706,8609,36,177868,0,34691,23804
IN,22,10,0,4,38874,8734,10719,64202,1,0,6747,156660,0,88411,8252,4.01888736,2711,15913,229,3251,55733,0,5766,1,1,2401,0,124.9517072,406218,0,50423,4368,6318,36,211490,0,48160,26784
IN,22,11,0,4,40754,8734,93647,68765,1,0,8563,183104,0,82480,127,4.01888736,6849,18927,229,91,55147,0,5081,2,0,235,0,4759.043956,433073,0,281,8468,9403,36,427931,727,98123,32487
MI,23,0,1,,638184,17749,717581,1142088,0,0,125562,2930348,0,1757521,57130,,529624,293683,543033,57019,1035892,0,6256,0,0,13561,,137.2032831,7823194,0,440937,86678,203484,43,5740903,0,998463,484018
MI,23,1,1,3,40672,17749,217840,60463,1,0,5171,180462,0,78212,17,0.00036324,41403,21607,543033,28,53094,0,5619,0,0,186,0,14880.96429,416667,32262008,0,4620,18990,43,416667,0,350229,26065
MI,23,2,1,3,32269,17749,16100,55011,0,1,6394,154463,0,89573,5183,0.00036324,16665,27685,543033,2638,47138,0,6286,0,0,356,1,157.0830174,414385,0,39870,4110,9281,43,200533,486,62095,22398
MI,23,3,1,3,37022,17749,15804,62438,0,0,7768,160477,0,92401,5589,0.00036324,13778,17983,543033,2891,56138,0,6240,0,0,881,0,144.0954687,416580,0,43030,4023,7998,43,240588,2000,54621,25469
MI,23,4,1,3,42195,17749,21306,68455,0,1,7649,155509,0,92575,8608,0.00036324,14083,12979,543033,4119,57437,0,5654,0,0,136,0,98.30007283,404898,0,68761,4254,7822,43,137848,0,43528,24443
MI,23,5,1,3,38126,17749,15711,60174,0,0,7292,154127,0,90239,2615,0.00036324,21894,10934,543033,1437,53221,0,6204,0,0,119,0,282.7550452,406319,0,21452,5320,8193,43,310957,0,59134,29075
MI,23,6,1,3,33343,17749,14892,55145,0,0,7715,155877,0,88472,3075,0.00036324,12620,26420,543033,1876,44570,0,6297,0,0,182,0,217.5463753,408117,0,27300,4334,8239,43,275342,0,82290,26350
MI,23,7,1,3,27186,17749,37022,75136,0,1,5105,154864,0,94636,2133,0.00036324,17392,12583,543033,1300,71238,0,6230,0,0,69,0,320.1838462,416239,0,19093,3511,9150,43,297610,0,82622,23771
MI,23,8,1,3,38535,17749,21520,58546,0,1,6579,143524,0,96100,9431,0.00036324,20234,11804,543033,4151,46053,0,5526,0,0,380,0,98.18790653,407578,0,64323,4942,8946,43,194262,217,45968,24798
MI,23,9,1,3,38720,17749,15187,62789,0,1,6902,145040,0,96305,4985,0.00036324,13657,12936,543033,5776,53838,0,5594,1,0,453,0,70.08119806,404789,0,38830,4474,9287,43,195823,0,37022,23319
MI,23,10,1,3,38997,17749,1438,54509,0,1,8341,141091,0,96447,8465,0.00036324,10674,15109,543033,10456,44131,0,5293,1,1,1313,0,38.56761668,403263,0,70084,3060,9458,43,146940,0,35219,23644
MI,23,11,1,3,44610,17749,1492,51336,0,1,8551,132898,0,95603,4490,0.00036324,25437,18806,543033,20445,23807,0,4743,2,2,4340,1,19.73436048,403469,0,33633,5374,13621,43,189623,269,28414,23330
MI,23,12,1,3,17550,17749,6263,62869,1,1,6905,146192,0,95351,1153,0.00036324,32828,11496,543033,482,63327,0,7102,3,1,3213,0,854.3568465,411800,32262008,6792,2791,9955,43,362195,0,23578,24047
MI,23,13,1,3,40480,17749,228829,57851,1,1,4058,154073,0,84999,42,0.00036324,30678,10002,543033,26,45875,0,4310,0,0,318,0,16017.38462,416452,32262008,0,4613,25272,43,416452,0,-6,20835
MI,23,14,1,3,42227,17749,15095,61328,1,1,4738,173592,0,86083,52,0.00036324,67797,15022,543033,36,67428,0,7029,0,0,146,0,11584.05556,417026,32262008,0,3782,11964,43,417026,0,-6,30784
MI,23,15,1,3,15429,17749,20643,65307,0,0,6634,143428,0,96901,370,0.00036324,24617,12206,543033,269,61394,0,7119,0,0,241,0,1537.446097,413573,0,2695,7695,9260,43,365593,0,-6,22665
MI,23,16,1,3,31913,17749,38334,68436,1,1,4320,159288,0,92401,85,0.00036324,48946,12972,543033,120,69712,0,6710,1,0,725,0,3457.266667,414872,32262008,241,7728,11845,43,407049,890,-6,23711
MI,23,17,1,3,36019,17749,7031,53320,1,0,6653,172217,0,92191,14,0.00036324,59665,17072,543033,44,57715,0,7672,0,0,99,0,9453.363636,415948,32262008,0,5146,8820,43,415948,0,-6,35880
MI,23,18,1,3,20861,17749,8753,48376,0,0,7295,153744,0,100230,221,0.00036324,33745,12107,543033,273,59214,0,8103,0,0,172,0,1526.849817,416830,0,991,2809,7400,43,395543,0,93743,28641
MI,23,19,1,3,22030,17749,14321,59599,0,0,7492,149482,0,98802,602,0.00036324,23511,13960,543033,652,60562,0,7302,0,0,232,0,635.5659509,414389,0,3842,4092,7983,43,354904,0,998463,24793
OH,24,0,0,,897124,19202,786097,,0,0,177611,3707164,0,2067054,79900,,396614,360752,88,40972,1295892,0,6171,0,0,-202284,,236.9031778,9706397,0,0,145243,202284,37,7123901,0,1296400,6092430
OH,24,1,0,4,43661,19202,65646,52949,1,0,7950,172442,0,78602,190,4.01888736,13202,15779,88,148,53567,0,6445,0,0,143,0,2821.716216,417614,0,385,5972,8291,37,403123,0,117339,28876
OH,24,2,0,4,39064,19202,57794,58847,1,0,9409,167576,0,92847,448,4.01888736,11037,14694,88,266,55587,0,6456,0,0,168,0,1678.597744,446507,0,1984,7690,8221,37,413982,463,-6,29385
OH,24,3,0,4,33814,19202,58040,62467,1,0,6952,174121,0,91346,297,4.01888736,9738,23878,88,204,62425,0,6869,3,1,2692,0,2154.107843,439438,0,1735,3644,8011,37,414972,779,101560,27428
OH,24,4,0,4,36727,19202,9607,54713,0,0,6323,133235,0,79996,8817,4.01888736,3070,10561,88,3150,47578,0,5475,0,0,65,1,112.4219048,354129,0,60135,4032,5678,37,172244,0,42023,21584
OH,24,5,0,3,36861,19202,1938,52950,0,1,6549,130413,0,80897,10770,0.00036324,5513,13460,88,4253,40948,0,5573,2,0,190,0,83.36162709,354537,0,72288,5723,6119,37,131657,0,34166,21103
OH,24,6,0,4,38053,19202,9141,53600,0,0,8212,128049,0,86114,8939,4.01888736,2222,14374,88,4740,37180,0,4939,0,0,721,0,80.34746835,380847,0,54611,5401,8724,37,120679,2080,47591,20331
OH,24,7,0,4,34668,19202,23140,51353,0,0,6695,135309,0,83208,7367,4.01888736,3774,22314,88,3018,37441,0,5652,1,1,3595,0,122.5679258,369910,0,41716,3972,6722,37,205691,0,53620,21256
OH,24,8,0,4,41345,19202,10599,66108,0,0,7622,158331,0,92003,8341,4.01888736,6835,14411,88,3646,57138,0,5800,1,0,116,0,113.8038947,414929,0,53539,5841,7575,37,238053,0,35817,24730
OH,24,9,0,3,44995,19202,42863,66641,1,1,7606,179580,0,96941,612,0.00036324,19345,14932,88,343,59144,0,6533,2,0,153,0,1332.16035,456931,45016077,3810,10069,11625,37,423284,0,64681,32815
OH,24,10,0,4,41455,19202,6918,51289,0,0,7368,121761,0,80998,5830,4.01888736,2134,16662,88,5091,34004,0,4654,0,0,132,0,72.03712434,366741,0,43332,4831,8689,37,140472,0,33215,19734
OH,24,11,0,3,31248,19202,9152,71765,0,1,8755,161573,0,99489,2717,0.00036324,19192,14434,88,1965,63136,0,6608,0,0,201,0,222.3577608,436933,0,20323,8936,9311,37,245949,0,124428,23927
OH,24,12,0,4,23280,19202,46369,36111,1,0,7290,128054,0,65461,389,4.01888736,7097,20707,88,237,30302,0,6617,3,1,2082,0,1350.075949,319968,0,2087,5328,5741,37,297119,0,97990,23571
OH,24,13,0,3,32474,19202,17801,64748,0,1,7168,147352,0,89184,3727,0.00036324,17244,10538,88,1680,57217,0,6208,0,0,122,0,236.9886905,398141,0,22799,8030,8427,37,270742,0,50999,22081
OH,24,14,0,4,38572,19202,39656,70038,1,0,6530,179755,0,98083,229,4.01888736,24215,12335,88,278,76050,0,6719,0,0,141,0,1646.669065,457774,0,1962,6572,9578,37,411412,0,81400,29256
OH,24,15,0,4,30423,19202,33866,44676,1,0,8082,140955,0,67075,588,4.01888736,7798,21226,88,301,36907,0,6220,0,0,4393,0,1205.960133,362994,0,3303,5464,6584,37,332268,0,28869,25323
OH,24,16,0,4,40683,19202,18998,68975,0,0,7225,163155,0,94903,2368,4.01888736,17671,11219,88,1257,66511,0,6216,0,0,61,0,345.636436,434465,0,16648,5788,9380,37,286821,0,63891,26742
OH,24,17,0,4,46394,19202,7305,60175,0,0,8281,153091,0,87809,9059,4.01888736,5208,14267,88,4382,49447,0,5390,0,0,101,0,94.67617526,414871,0,57701,5199,8237,37,179666,0,47692,24318
OH,24,18,0,4,46208,19202,10477,68653,0,0,6830,146821,0,89579,4376,4.01888736,15696,10673,88,3303,51876,0,5301,0,0,84,0,124.463518,411103,0,29767,5465,10328,37,202039,0,42932,24435
OH,24,19,0,4,39074,19202,46298,75477,0,0,7581,163020,0,93289,792,4.01888736,33570,11207,88,739,70476,0,6106,0,0,188,0,589.6387009,435743,0,6697,5702,11052,37,353088,0,-6,25586
OH,24,20,0,3,40523,19202,96986,75175,1,1,6172,182331,0,83718,62,0.00036324,50713,13899,88,53,72895,0,6078,2,0,386,0,8298.773585,439835,21960213,0,9459,13269,37,439835,795,228187,27743
OH,24,21,0,3,3511,19202,120053,67802,1,0,6758,168492,0,87985,65,0.00036324,39532,15379,88,57,64285,0,6344,0,0,341,0,7477.473684,426216,21960213,0,6886,11470,37,426216,0,-6,26584
OH,24,22,0,3,42158,19202,35712,46914,1,1,6546,172196,0,76985,82,0.00036324,47804,13745,88,73,57770,0,7741,0,0,137,0,5425.876712,396089,21960213,64,5181,7008,37,394496,0,-6,32017
OH,24,23,0,3,32892,19202,2557,46378,1,1,7532,156356,0,83242,295,0.00036324,29692,16335,88,273,53721,0,8050,0,0,490,0,1413.021978,385755,21960213,133,5898,4943,37,380982,1102,-6,28944
OH,24,24,0,3,27041,19202,15181,60550,1,1,8175,143196,0,87250,3540,0.00036324,4312,13723,88,1561,60287,0,6409,0,0,209,0,246.5900064,384927,0,24494,3160,7301,37,239111,0,1296400,20464
WI,25,0,1,,402736,7826,74546,587724,0,0,71717,1527722,0,870298,103291,,171519,142275,14,54705,483783,0,5926,0,0,5239,,72.237949,3951777,0,553864,47779,59091,33,2522887,0,492165,258053
WI,25,1,1,7,39506,7826,8698,72105,0,1,7556,160288,0,88389,5398,0.00217944,24234,11994,14,1891,68760,0,6483,1,1,173,1,216.1168694,408677,0,31544,3940,5694,33,274923,0,56301,24757
WI,25,2,1,7,39909,7826,1918,51022,0,0,8360,157269,0,82392,12820,0.00217944,12565,27480,14,4017,33748,0,5864,1,0,2269,0,99.05850137,397918,0,64184,3580,3992,33,241636,456,67580,27137
WI,25,3,1,7,47291,7826,188,46222,0,0,7028,141563,0,89246,25973,0.00217944,6362,14267,14,10845,22645,0,4511,0,0,113,0,35.20792992,381830,0,127018,4592,6543,33,115346,1176,31763,23036
WI,25,4,1,7,29651,7826,324,73526,1,1,6258,162047,0,82859,229,0.00217944,26759,13431,14,136,75030,0,6956,2,0,493,0,2917.375,396763,0,0,6900,6297,33,396763,0,150319,25528
WI,25,5,1,7,46784,7826,61583,67585,1,1,6096,176343,0,70286,29,0.00217944,33928,14432,14,30,62643,0,6362,0,0,361,0,13312.46667,399374,0,0,5388,9212,33,399374,0,-6,31233
WI,25,6,1,7,40842,7826,132,65203,0,1,7152,151516,0,86945,10345,0.00217944,11994,10762,14,3017,57820,0,5910,0,0,135,0,129.8452105,391743,0,56503,3796,4242,33,227257,0,44872,24529
WI,25,7,1,7,44655,7826,105,53155,0,1,6044,141588,0,91801,19636,0.00217944,11643,11447,14,12458,37420,0,4664,0,0,201,0,31.07055707,387077,0,110892,3877,5349,33,138637,1108,33944,21875
WI,25,8,1,7,37889,7826,176,58934,0,1,7055,145359,0,95441,10311,0.00217944,8941,10417,14,4959,47091,0,5637,0,0,318,0,80.77576124,400567,0,66360,4793,4987,33,247198,0,48300,25595
WI,25,9,1,7,28913,7826,1263,51721,1,1,9069,151568,0,90114,1452,0.00217944,18958,13438,14,629,53194,0,7709,0,0,801,0,632.9936407,398153,0,5979,4042,3633,33,342906,0,31485,29504
WI,25,10,1,9,47296,7826,159,48248,0,1,7099,140181,0,92825,17098,0.00036324,16135,14577,14,16723,25432,0,4697,0,0,375,0,23.30174012,389675,46177391,91384,6871,9142,33,138847,0,27601,24859
IA,31,0,0,,327685,5235,25354,331476,0,0,52979,1052632,0,598358,153470,,56278,112443,1383,56032,189660,0,5069,0,0,1690,,49.21361008,2757537,0,662239,39449,33630,23,1463484,0,339427,198587
IA,31,1,0,7,46823,5235,4031,51710,0,0,7182,158658,0,83552,16350,0.00217944,7201,22820,1383,5943,35952,0,5418,1,0,163,0,67.81894666,403048,0,71604,5120,4896,23,246303,482,51080,28922
IA,31,2,0,7,48865,5235,1744,58834,0,0,7964,170852,0,95449,21645,0.00217944,7705,12325,1383,7220,42641,0,5382,0,0,154,0,61.27506925,442406,0,99869,5822,5161,23,249229,0,54436,29486
IA,31,3,0,7,45796,5235,5177,49269,0,0,7592,153010,0,90275,25541,0.00217944,9472,14059,1383,8296,29113,0,5141,0,0,227,0,48.63090646,403442,0,108674,5174,6101,23,201826,0,47704,28929
IA,31,4,0,7,51536,5235,1203,43921,0,0,6656,135236,0,79025,25085,0.00217944,5329,13996,1383,10420,23280,0,4470,0,0,67,0,35.13618042,366119,0,110102,4883,4243,23,153790,1515,42830,24358
