STATE,FIPSTATE,SC,CD,REDIST,ACEREGIO,AGE65,BANK,BLACK,BLUCLLR,CITY,COAST,CONSTRUC,CVLLBRFR,DC,ENROLL,FARMER,FEDWRKR,FINANCE,FLOOD,FORBORN,GVTWRKR,INTRLAND,LANDSQMI,LOCLWRKR,MANUF,MARINE,MDNINCM,MILTINST,MILTMAJR,MILTPOP,NUCPLANT,POPSQMI,POPULATN,PORT,RURLFARM,STATWRKR,TRANSPRT,UNEMPLYD,UNION,URBAN,VABEDS,VETERANS,WHLRETL
NY,36,13,7,0,2,97309,770500,59736,37227,1,1,15899,299744,0,54825,795,7066,31339,28.008056,208791,41727,14427,25,28569,35857,0,36643,0,0,290,0,23204.64,580116,127030215,0,6092,21010,21142,35.8,580116,0,1650271,57319
NY,36,13,8,0,2,88693,770500,49419,19329,1,1,8019,325148,0,38246,572,5690,40498,28.008056,145436,34998,14427,15,22552,34358,0,39777,0,0,1464,0,38763.53333,581453,127030215,0,6756,11138,20838,35.8,581453,0,1650271,47740
NY,36,13,9,0,2,113302,770500,18527,24116,1,1,11909,284285,0,49764,584,6794,37036,28.008056,141811,50637,14427,37,37652,27372,0,43401,0,0,233,0,15672.32432,579876,127030215,0,6191,18907,16581,35.8,579876,0,1650271,51743
NY,36,13,10,0,2,56748,770500,353595,28272,1,1,7742,251627,0,98666,570,7787,26120,28.008056,119163,57535,14427,16,40117,22921,0,26177,0,0,457,0,36331.9375,581311,127030215,0,9631,17200,28566,35.8,581311,0,1650271,28857
NY,36,13,11,0,2,50169,770500,430627,29533,1,0,9497,284039,0,97517,503,7622,31099,28.008056,229612,59693,14427,10,42284,22511,0,29141,0,0,553,0,58233.2,582332,127030215,0,9787,18468,29497,35.8,582332,0,1650271,33099
NY,36,13,12,0,2,48745,770500,79162,54352,1,1,10140,257574,0,105075,630,5153,19188,28.008056,247539,28567,14427,13,19181,48441,0,21911,0,0,287,0,44442.84615,577757,127030215,0,4233,13790,28061,35.8,577757,0,1650271,55572
NY,36,13,13,0,2,81040,770500,32686,27138,1,1,15180,284027,0,64134,862,8069,46434,28.008056,96311,53108,14427,65,37337,21134,0,46598,2,1,1729,0,8915.707692,579521,127030215,0,7702,19437,17406,35.8,579521,603,1650271,46441
NY,36,13,14,0,2,89934,770500,27606,16405,1,1,8523,371386,0,22202,587,6106,58935,28.008056,140695,31719,14427,13,19761,38657,0,59953,0,0,43,0,44510.69231,578639,127030215,0,5852,11790,17716,35.8,578639,548,1650271,51721
NY,36,13,15,0,2,67845,770500,272341,31268,1,1,6693,244974,0,87750,555,6147,18305,28.008056,171626,41907,14427,10,28200,26813,0,21065,0,0,534,0,58035.4,580354,127030215,0,7560,11877,31063,35.8,580354,0,1650271,34927
NY,36,13,16,0,2,40300,770500,248023,32398,1,1,7650,210473,0,122849,845,6560,15008,28.008056,123375,41725,14427,15,29140,23969,0,16683,0,0,331,0,38736.86667,581053,127030215,0,6025,13005,32089,35.8,581053,0,1650271,31989
