Sampling,Model,Metric,Trial 0,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Avg_Acc,Std_dev_Acc,Avg_Precision,Std_dev Precision,Avg_recall,std_dev recall,average_f1,std_dev f1
STANDARD,AdaBoost,accuracy,0.889484979,0.894849785,0.891630901,0.878755365,0.869098712,0.871244635,0.893776824,0.892703863,0.879828326,0.876609442,0.883798283,0.009280341,0.916720019,0.009092247,0.95809817,0.007239067,0.93691739,0.005636431
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,TP,811,813,811,797,790,794,814,814,801,801,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,FN,44,24,28,34,42,41,36,35,35,33,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,FP,59,74,73,79,80,79,63,65,77,82,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,TN,18,21,20,22,20,18,19,18,19,16,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,precision,0.932183908,0.916572717,0.917420814,0.909817352,0.908045977,0.909507446,0.928164196,0.926052332,0.912300683,0.907134768,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,recall,0.948538012,0.971326165,0.966626937,0.959085439,0.949519231,0.950898204,0.957647059,0.958775029,0.958133971,0.960431655,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,AdaBoost,f1,0.940289855,0.943155452,0.941381312,0.933801992,0.928319624,0.929742389,0.942675159,0.94212963,0.934655776,0.933022714,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,accuracy,0.917381974,0.896995708,0.807939914,0.880901288,0.892703863,0.625536481,0.819742489,0.903433476,0.873390558,0.519313305,0.813733906,0.127357577,0.903063857,0.010843122,0.887896476,0.166978816,0.887376936,0.098471765
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,TP,855,836,736,818,832,541,748,840,813,441,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,FN,0,1,103,13,0,294,102,9,23,393,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,FP,77,95,76,98,100,55,66,81,95,55,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,TN,0,0,17,3,0,42,16,2,1,43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,precision,0.917381974,0.897959184,0.906403941,0.8930131,0.892703863,0.907718121,0.918918919,0.912052117,0.895374449,0.889112903,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
STANDARD,MLP,recall,1,0.998805257,0.877234803,0.984356197,1,0.647904192,0.88,0.989399293,0.972488038,0.528776978,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
